ticker,stage,reason
DNTH,filters,avg_vol_20d 916221 < 1000000
DNUT,filters,rvol 1.07 < 1.3
DOCN,filters,price 5.29 < 8.0
DOLE,filters,price 3.32 < 8.0
DOMO,filters,avg_vol_20d 580470 < 1000000
DORM,filters,avg_vol_20d 257403 < 1000000
DOUG,filters,rvol 0.82 < 1.3
DRH,filters,price 6.19 < 8.0
DRUG,filters,price 4.72 < 8.0
DRVN,filters,price 1.91 < 8.0
DSGN,filters,avg_vol_20d 586242 < 1000000
DSGR,filters,price 6.15 < 8.0
DSP,filters,rvol 0.78 < 1.3
DVAX,filters,rvol 1.16 < 1.3
DX,filters,price 2.78 < 8.0
DXPE,filters,rvol 1.25 < 1.3
DY,filters,rvol 1.18 < 1.3
DYN,filters,avg_vol_20d 925764 < 1000000
EAT,filters,rvol 0.77 < 1.3
EB,filters,price 4.09 < 8.0
EBC,filters,avg_vol_20d 506145 < 1000000
EBF,filters,price 4.38 < 8.0
EBMT,filters,rvol 0.89 < 1.3
EBS,filters,avg_vol_20d 23922 < 1000000
ECBK,filters,avg_vol_20d 580470 < 1000000
ECPG,filters,avg_vol_20d 920001 < 1000000
ECVT,filters,avg_vol_20d 128850 < 1000000
EDIT,filters,avg_vol_20d 308181 < 1000000
EE,setup,did_not_meet_breakout_or_reversal
EEX,filters,price 1.78 < 8.0
EFC,filters,price 5.80 < 8.0
EFSC,filters,rvol 0.69 < 1.3
EFSI,setup,did_not_meet_breakout_or_reversal
EGAN,filters,price 6.51 < 8.0
EGBN,filters,rvol 0.58 < 1.3
EGHT,filters,avg_vol_20d 360337 < 1000000
EGY,filters,rvol 0.47 < 1.3
EHAB,filters,avg_vol_20d 872093 < 1000000
EHTH,filters,avg_vol_20d 45183 < 1000000
EIG,filters,avg_vol_20d 159427 < 1000000
ELA,filters,rvol 0.53 < 1.3
ELDN,filters,avg_vol_20d 980964 < 1000000
ELMD,filters,avg_vol_20d 54546 < 1000000
ELME,filters,avg_vol_20d 49453 < 1000000
ELVN,filters,rvol 0.73 < 1.3
EMBC,filters,avg_vol_20d 165161 < 1000000
EML,filters,avg_vol_20d 277844 < 1000000
ENOV,filters,price 2.04 < 8.0
ENPH,filters,price 4.17 < 8.0
ENR,filters,rvol 0.86 < 1.3
ENS,filters,avg_vol_20d 6862 < 1000000
ENSG,filters,avg_vol_20d 740481 < 1000000
ENTA,filters,rvol 1.07 < 1.3
ENVA,filters,avg_vol_20d 370562 < 1000000
ENVX,filters,avg_vol_20d 225018 < 1000000
EOLS,filters,avg_vol_20d 14232 < 1000000
EOSE,filters,avg_vol_20d 199699 < 1000000
EP,filters,avg_vol_20d 876732 < 1000000
EPAC,filters,rvol 0.50 < 1.3
EPC,filters,avg_vol_20d 50652 < 1000000
EPM,filters,avg_vol_20d 54546 < 1000000
EPRT,filters,avg_vol_20d 44935 < 1000000
EPSN,filters,avg_vol_20d 925764 < 1000000
EQBK,filters,price 7.88 < 8.0
