scan_date,ticker,period,in_weekly_top5,in_pro30,in_movers,weekly_rank,source,composite_score,technical_score,catalyst_score,entry_price,exit_price,max_price,min_price,return_pct,max_return_pct,max_drawdown_pct,trading_days,hit_5pct,hit_10pct,hit_15pct
2025-11-27,ARWR,5,False,True,False,,30d_momentum,,,,52.7,61.44,67.14,52.23,16.58,27.4,-0.89,5,True,True,True
2025-11-27,ARWR,7,False,True,False,,30d_momentum,,,,52.7,68.83,71.5,52.23,30.61,35.67,-0.89,7,True,True,True
2025-11-27,ARWR,10,False,True,False,,30d_momentum,,,,52.7,70.09,72.36,52.23,33.0,37.31,-0.89,10,True,True,True
2025-11-27,ARWR,14,False,True,False,,30d_momentum,,,,52.7,66.47,72.36,52.23,26.13,37.31,-0.89,14,True,True,True
2025-11-28,WBD,5,True,False,False,1.0,weekly_top5,5.38,,,24.0,26.08,26.1,23.64,8.67,8.75,-1.5,5,True,False,False
2025-11-28,WBD,7,True,False,False,1.0,weekly_top5,5.38,,,24.0,28.26,28.34,23.64,17.75,18.08,-1.5,7,True,True,True
2025-11-28,WBD,10,True,False,False,1.0,weekly_top5,5.38,,,24.0,29.98,30.0,23.64,24.92,25.0,-1.5,10,True,True,True
2025-11-28,WBD,14,True,False,False,1.0,weekly_top5,5.38,,,24.0,27.61,30.0,23.64,15.04,25.0,-1.5,14,True,True,True
2025-11-28,CADE,5,True,False,False,2.0,weekly_top5,5.13,,,39.84,41.43,42.17,39.53,3.99,5.85,-0.78,5,True,False,False
2025-11-28,CADE,7,True,False,False,2.0,weekly_top5,5.13,,,39.84,41.64,42.24,39.53,4.52,6.02,-0.78,7,True,False,False
2025-11-28,CADE,10,True,False,False,2.0,weekly_top5,5.13,,,39.84,43.78,44.26,39.53,9.89,11.08,-0.78,10,True,True,False
2025-11-28,CADE,14,True,False,False,2.0,weekly_top5,5.13,,,39.84,43.41,44.26,39.53,8.96,11.08,-0.78,14,True,True,False
2025-11-28,WAB,5,True,False,False,3.0,weekly_top5,4.88,,,208.55,214.95,215.23,206.75,3.07,3.2,-0.86,5,False,False,False
2025-11-28,WAB,7,True,False,False,3.0,weekly_top5,4.88,,,208.55,209.62,216.03,206.75,0.51,3.59,-0.86,7,False,False,False
2025-11-28,WAB,10,True,False,False,3.0,weekly_top5,4.88,,,208.55,214.41,220.89,206.75,2.81,5.92,-0.86,10,True,False,False
2025-11-28,WAB,14,True,False,False,3.0,weekly_top5,4.88,,,208.55,213.6,220.89,206.75,2.42,5.92,-0.86,14,True,False,False
2025-11-28,APH,5,True,False,False,4.0,weekly_top5,4.75,,,140.9,139.36,143.48,137.01,-1.09,1.83,-2.76,5,False,False,False
2025-11-28,APH,7,True,False,False,4.0,weekly_top5,4.75,,,140.9,138.58,143.48,137.01,-1.65,1.83,-2.76,7,False,False,False
2025-11-28,APH,10,True,False,False,4.0,weekly_top5,4.75,,,140.9,129.24,143.48,128.28,-8.28,1.83,-8.96,10,False,False,False
2025-11-28,APH,14,True,False,False,4.0,weekly_top5,4.75,,,140.9,129.61,143.48,125.38,-8.01,1.83,-11.01,14,False,False,False
2025-11-28,VIAV,5,True,False,False,5.0,weekly_top5,4.75,,,17.94,18.32,18.55,16.69,2.12,3.4,-6.97,5,False,False,False
2025-11-28,VIAV,7,True,False,False,5.0,weekly_top5,4.75,,,17.94,18.94,19.02,16.69,5.57,6.02,-6.97,7,True,False,False
2025-11-28,VIAV,10,True,False,False,5.0,weekly_top5,4.75,,,17.94,18.0,19.75,16.69,0.33,10.12,-6.97,10,True,True,False
2025-11-28,VIAV,14,True,False,False,5.0,weekly_top5,4.75,,,17.94,17.4,19.75,16.69,-3.01,10.12,-6.97,14,True,True,False
2025-12-01,JBHT,5,True,False,False,1.0,weekly_top5,5.25,,,179.73,189.89,191.88,178.35,5.65,6.76,-0.77,5,True,False,False
2025-12-01,JBHT,7,True,False,False,1.0,weekly_top5,5.25,,,179.73,198.13,199.46,178.35,10.24,10.98,-0.77,7,True,True,False
2025-12-01,JBHT,10,True,False,False,1.0,weekly_top5,5.25,,,179.73,197.6,204.43,178.35,9.94,13.74,-0.77,10,True,True,False
2025-12-01,JBHT,14,True,False,False,1.0,weekly_top5,5.25,,,179.73,197.68,204.43,178.35,9.99,13.74,-0.77,14,True,True,False
2025-12-01,RL,5,True,False,False,2.0,weekly_top5,5.125,,,365.88,356.44,368.73,349.4,-2.58,0.78,-4.5,5,False,False,False
2025-12-01,RL,7,True,False,False,2.0,weekly_top5,5.125,,,365.88,357.7,368.73,348.59,-2.24,0.78,-4.73,7,False,False,False
2025-12-01,RL,10,True,False,False,2.0,weekly_top5,5.125,,,365.88,371.7,377.72,348.59,1.59,3.23,-4.73,10,False,False,False
2025-12-01,RL,14,True,False,False,2.0,weekly_top5,5.125,,,365.88,362.53,380.0,348.59,-0.92,3.86,-4.73,14,False,False,False
